Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,S2-1-25
A,8,MCP,Q2-1-22
A,9,MCP,U2-1-24
A,10,MCP,K2-1-17
A,11,MCP,O2-1-2
A,12,MCP,G2-1-1
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,S2-1-25
B,8,MCP,Q2-1-22
B,9,MCP,U2-1-24
B,10,MCP,K2-1-17
B,11,MCP,O2-1-2
B,12,MCP,G2-1-1
C,1,MCP,F2-1-4
C,2,MCP,P2-1-13
C,3,MCP,O2-1-8
C,4,MCP,P2-1-14
C,5,MCP,H2-1-13
C,6,MCP,AA2-1-11
C,7,MCP,D2-1-9
C,8,MCP,U2-1-29
C,9,MCP,K2-1-13
C,10,MCP,AA2-1-29
C,11,MCP,K2-1-7
C,12,MCP,W2-1-24
D,1,MCP,F2-1-4
D,2,MCP,P2-1-13
D,3,MCP,O2-1-8
D,4,MCP,P2-1-14
D,5,MCP,H2-1-13
D,6,MCP,AA2-1-11
D,7,MCP,D2-1-9
D,8,MCP,U2-1-29
D,9,MCP,K2-1-13
D,10,MCP,AA2-1-29
D,11,MCP,K2-1-7
D,12,MCP,W2-1-24
E,1,MCP,CC2-1-3
E,2,MCP,S2-1-26
E,3,MCP,C2-1-11
E,4,MCP,I2-1-13
E,5,MCP,U2-1-1
E,6,MCP,B2-1-7
E,7,MCP,B2-1-1
E,8,MCP,X2-1-16
E,9,MCP,CC2-1-16
E,10,MCP,BB2-1-8
E,11,MCP,C2-1-21
E,12,MCP,E2-1-8
F,1,MCP,CC2-1-3
F,2,MCP,S2-1-26
F,3,MCP,C2-1-11
F,4,MCP,I2-1-13
F,5,MCP,U2-1-1
F,6,MCP,B2-1-7
F,7,MCP,B2-1-1
F,8,MCP,X2-1-16
F,9,MCP,CC2-1-16
F,10,MCP,BB2-1-8
F,11,MCP,C2-1-21
F,12,MCP,E2-1-8
G,1,MCP,E2-1-26
G,2,MCP,Y2-1-2
G,3,MCP,W2-1-15
G,4,MCP,M2-1-3
G,5,MCP,E2-1-21
G,6,MCP,N2-1-13
G,7,MCP,N2-1-2
G,8,MCP,W2-1-27
G,9,MCP,BB2-1-10
G,10,MCP,J2-1-11
G,11,MCP,X2-1-12
G,12,MCP,E2-1-10
H,1,MCP,E2-1-26
H,2,MCP,Y2-1-2
H,3,MCP,W2-1-15
H,4,MCP,M2-1-3
H,5,MCP,E2-1-21
H,6,MCP,N2-1-13
H,7,MCP,N2-1-2
H,8,MCP,W2-1-27
H,9,MCP,BB2-1-10
H,10,MCP,J2-1-11
H,11,MCP,X2-1-12
H,12,MCP,E2-1-10
