Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,X2-1-14
A,8,MCP,I2-1-17
A,9,MCP,K2-1-11
A,10,MCP,A2-1-12
A,11,MCP,CC2-1-11
A,12,MCP,T2-1-15
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,X2-1-14
B,8,MCP,I2-1-17
B,9,MCP,K2-1-11
B,10,MCP,A2-1-12
B,11,MCP,CC2-1-11
B,12,MCP,T2-1-15
C,1,MCP,F2-1-9
C,2,MCP,C2-1-7
C,3,MCP,CC2-1-22
C,4,MCP,U2-1-16
C,5,MCP,AA2-1-18
C,6,MCP,P2-1-3
C,7,MCP,C2-1-17
C,8,MCP,CC2-1-24
C,9,MCP,J2-1-6
C,10,MCP,Q2-1-21
C,11,MCP,T2-1-2
C,12,MCP,C2-1-5
D,1,MCP,F2-1-9
D,2,MCP,C2-1-7
D,3,MCP,CC2-1-22
D,4,MCP,U2-1-16
D,5,MCP,AA2-1-18
D,6,MCP,P2-1-3
D,7,MCP,C2-1-17
D,8,MCP,CC2-1-24
D,9,MCP,J2-1-6
D,10,MCP,Q2-1-21
D,11,MCP,T2-1-2
D,12,MCP,C2-1-5
E,1,MCP,X2-1-28
E,2,MCP,I2-1-3
E,3,MCP,K2-1-9
E,4,MCP,S2-1-15
E,5,MCP,S2-1-11
E,6,MCP,V2-1-22
E,7,MCP,W2-1-9
E,8,MCP,CC2-1-30
E,9,MCP,Q2-1-11
E,10,MCP,E2-1-19
E,11,MCP,Y2-1-26
E,12,MCP,G2-1-7
F,1,MCP,X2-1-28
F,2,MCP,I2-1-3
F,3,MCP,K2-1-9
F,4,MCP,S2-1-15
F,5,MCP,S2-1-11
F,6,MCP,V2-1-22
F,7,MCP,W2-1-9
F,8,MCP,CC2-1-30
F,9,MCP,Q2-1-11
F,10,MCP,E2-1-19
F,11,MCP,Y2-1-26
F,12,MCP,G2-1-7
G,1,MCP,G2-1-3
G,2,MCP,U2-1-12
G,3,MCP,N2-1-28
G,4,MCP,V2-1-3
G,5,MCP,X2-1-29
G,6,MCP,U2-1-22
G,7,MCP,G2-1-6
G,8,MCP,I2-1-29
G,9,MCP,U2-1-13
G,10,MCP,N2-1-15
G,11,MCP,I2-1-22
G,12,MCP,E2-1-20
H,1,MCP,G2-1-3
H,2,MCP,U2-1-12
H,3,MCP,N2-1-28
H,4,MCP,V2-1-3
H,5,MCP,X2-1-29
H,6,MCP,U2-1-22
H,7,MCP,G2-1-6
H,8,MCP,I2-1-29
H,9,MCP,U2-1-13
H,10,MCP,N2-1-15
H,11,MCP,I2-1-22
H,12,MCP,E2-1-20
