Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,T2-1-13
A,8,MCP,CC2-1-10
A,9,MCP,Y2-1-10
A,10,MCP,O2-1-4
A,11,MCP,BB2-1-16
A,12,MCP,B2-1-5
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,T2-1-13
B,8,MCP,CC2-1-10
B,9,MCP,Y2-1-10
B,10,MCP,O2-1-4
B,11,MCP,BB2-1-16
B,12,MCP,B2-1-5
C,1,MCP,N2-1-10
C,2,MCP,X2-1-1
C,3,MCP,N2-1-25
C,4,MCP,H2-1-9
C,5,MCP,J2-1-13
C,6,MCP,I2-1-14
C,7,MCP,J2-1-8
C,8,MCP,X2-1-2
C,9,MCP,M2-1-2
C,10,MCP,S2-1-4
C,11,MCP,Y2-1-30
C,12,MCP,Y2-1-25
D,1,MCP,N2-1-10
D,2,MCP,X2-1-1
D,3,MCP,N2-1-25
D,4,MCP,H2-1-9
D,5,MCP,J2-1-13
D,6,MCP,I2-1-14
D,7,MCP,J2-1-8
D,8,MCP,X2-1-2
D,9,MCP,M2-1-2
D,10,MCP,S2-1-4
D,11,MCP,Y2-1-30
D,12,MCP,Y2-1-25
E,1,MCP,N2-1-5
E,2,MCP,C2-1-10
E,3,MCP,AA2-1-9
E,4,MCP,S2-1-10
E,5,MCP,K2-1-10
E,6,MCP,F2-1-2
E,7,MCP,K2-1-16
E,8,MCP,AA2-1-10
E,9,MCP,U2-1-27
E,10,MCP,S2-1-8
E,11,MCP,CC2-1-12
E,12,MCP,T2-1-10
F,1,MCP,N2-1-5
F,2,MCP,C2-1-10
F,3,MCP,AA2-1-9
F,4,MCP,S2-1-10
F,5,MCP,K2-1-10
F,6,MCP,F2-1-2
F,7,MCP,K2-1-16
F,8,MCP,AA2-1-10
F,9,MCP,U2-1-27
F,10,MCP,S2-1-8
F,11,MCP,CC2-1-12
F,12,MCP,T2-1-10
G,1,MCP,C2-1-9
G,2,MCP,S2-1-14
G,3,MCP,E2-1-29
G,4,MCP,S2-1-19
G,5,MCP,CC2-1-8
G,6,MCP,N2-1-17
G,7,MCP,O2-1-5
G,8,MCP,Y2-1-22
G,9,MCP,F2-1-11
G,10,MCP,BB2-1-7
G,11,MCP,D2-1-5
G,12,MCP,W2-1-26
H,1,MCP,C2-1-9
H,2,MCP,S2-1-14
H,3,MCP,E2-1-29
H,4,MCP,S2-1-19
H,5,MCP,CC2-1-8
H,6,MCP,N2-1-17
H,7,MCP,O2-1-5
H,8,MCP,Y2-1-22
H,9,MCP,F2-1-11
H,10,MCP,BB2-1-7
H,11,MCP,D2-1-5
H,12,MCP,W2-1-26
