Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,C2-1-2
A,8,MCP,P2-1-11
A,9,MCP,T2-1-1
A,10,MCP,W2-1-23
A,11,MCP,BB2-1-15
A,12,MCP,X2-1-24
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,C2-1-2
B,8,MCP,P2-1-11
B,9,MCP,T2-1-1
B,10,MCP,W2-1-23
B,11,MCP,BB2-1-15
B,12,MCP,X2-1-24
C,1,MCP,U2-1-18
C,2,MCP,I2-1-16
C,3,MCP,U2-1-3
C,4,MCP,X2-1-13
C,5,MCP,P2-1-20
C,6,MCP,Y2-1-4
C,7,MCP,CC2-1-23
C,8,MCP,Q2-1-32
C,9,MCP,P2-1-18
C,10,MCP,P2-1-2
C,11,MCP,W2-1-10
C,12,MCP,CC2-1-33
D,1,MCP,U2-1-18
D,2,MCP,I2-1-16
D,3,MCP,U2-1-3
D,4,MCP,X2-1-13
D,5,MCP,P2-1-20
D,6,MCP,Y2-1-4
D,7,MCP,CC2-1-23
D,8,MCP,Q2-1-32
D,9,MCP,P2-1-18
D,10,MCP,P2-1-2
D,11,MCP,W2-1-10
D,12,MCP,CC2-1-33
E,1,MCP,CC2-1-2
E,2,MCP,AA2-1-16
E,3,MCP,I2-1-32
E,4,MCP,AA2-1-26
E,5,MCP,BB2-1-6
E,6,MCP,W2-1-29
E,7,MCP,F2-1-3
E,8,MCP,Q2-1-5
E,9,MCP,K2-1-2
E,10,MCP,D2-1-2
E,11,MCP,S2-1-1
E,12,MCP,Q2-1-19
F,1,MCP,CC2-1-2
F,2,MCP,AA2-1-16
F,3,MCP,I2-1-32
F,4,MCP,AA2-1-26
F,5,MCP,BB2-1-6
F,6,MCP,W2-1-29
F,7,MCP,F2-1-3
F,8,MCP,Q2-1-5
F,9,MCP,K2-1-2
F,10,MCP,D2-1-2
F,11,MCP,S2-1-1
F,12,MCP,Q2-1-19
G,1,MCP,AA2-1-24
G,2,MCP,X2-1-5
G,3,MCP,M2-1-1
G,4,MCP,X2-1-8
G,5,MCP,V2-1-19
G,6,MCP,S2-1-9
G,7,MCP,U2-1-9
G,8,MCP,AA2-1-31
G,9,MCP,B2-1-2
G,10,MCP,F2-1-7
G,11,MCP,Y2-1-21
G,12,MCP,Y2-1-18
H,1,MCP,AA2-1-24
H,2,MCP,X2-1-5
H,3,MCP,M2-1-1
H,4,MCP,X2-1-8
H,5,MCP,V2-1-19
H,6,MCP,S2-1-9
H,7,MCP,U2-1-9
H,8,MCP,AA2-1-31
H,9,MCP,B2-1-2
H,10,MCP,F2-1-7
H,11,MCP,Y2-1-21
H,12,MCP,Y2-1-18
