Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,W2-1-20
A,8,MCP,X2-1-22
A,9,MCP,Y2-1-5
A,10,MCP,W2-1-14
A,11,MCP,Y2-1-6
A,12,MCP,N2-1-19
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,W2-1-20
B,8,MCP,X2-1-22
B,9,MCP,Y2-1-5
B,10,MCP,W2-1-14
B,11,MCP,Y2-1-6
B,12,MCP,N2-1-19
C,1,MCP,AA2-1-5
C,2,MCP,I2-1-2
C,3,MCP,P2-1-12
C,4,MCP,W2-1-32
C,5,MCP,L2-1-7
C,6,MCP,CC2-1-18
C,7,MCP,N2-1-24
C,8,MCP,O2-1-11
C,9,MCP,T2-1-11
C,10,MCP,U2-1-15
C,11,MCP,S2-1-24
C,12,MCP,S2-1-5
D,1,MCP,AA2-1-5
D,2,MCP,I2-1-2
D,3,MCP,P2-1-12
D,4,MCP,W2-1-32
D,5,MCP,L2-1-7
D,6,MCP,CC2-1-18
D,7,MCP,N2-1-24
D,8,MCP,O2-1-11
D,9,MCP,T2-1-11
D,10,MCP,U2-1-15
D,11,MCP,S2-1-24
D,12,MCP,S2-1-5
E,1,MCP,Z2-1-1
E,2,MCP,Y2-1-7
E,3,MCP,P2-1-22
E,4,MCP,K2-1-18
E,5,MCP,Y2-1-13
E,6,MCP,S2-1-29
E,7,MCP,J2-1-5
E,8,MCP,W2-1-19
E,9,MCP,AA2-1-21
E,10,MCP,L2-1-6
E,11,MCP,A2-1-1
E,12,MCP,AA2-1-7
F,1,MCP,Z2-1-1
F,2,MCP,Y2-1-7
F,3,MCP,P2-1-22
F,4,MCP,K2-1-18
F,5,MCP,Y2-1-13
F,6,MCP,S2-1-29
F,7,MCP,J2-1-5
F,8,MCP,W2-1-19
F,9,MCP,AA2-1-21
F,10,MCP,L2-1-6
F,11,MCP,A2-1-1
F,12,MCP,AA2-1-7
G,1,MCP,R2-1-3
G,2,MCP,W2-1-17
G,3,MCP,CC2-1-7
G,4,MCP,X2-1-27
G,5,MCP,CC2-1-27
G,6,MCP,T2-1-7
G,7,MCP,E2-1-22
G,8,MCP,D2-1-8
G,9,MCP,AA2-1-14
G,10,MCP,K2-1-3
G,11,MCP,Y2-1-3
G,12,MCP,S2-1-31
H,1,MCP,R2-1-3
H,2,MCP,W2-1-17
H,3,MCP,CC2-1-7
H,4,MCP,X2-1-27
H,5,MCP,CC2-1-27
H,6,MCP,T2-1-7
H,7,MCP,E2-1-22
H,8,MCP,D2-1-8
H,9,MCP,AA2-1-14
H,10,MCP,K2-1-3
H,11,MCP,Y2-1-3
H,12,MCP,S2-1-31
