Row,Column,*Target Name,*Sample Name
A,1,MCP,
A,2,MCP,
A,3,MCP,
A,4,MCP,
A,5,MCP,
A,6,MCP,
A,7,MCP,N2-1-8
A,8,MCP,J2-1-3
A,9,MCP,V2-1-14
A,10,MCP,I2-1-7
A,11,MCP,U2-1-20
A,12,MCP,P2-1-7
B,1,MCP,
B,2,MCP,
B,3,MCP,
B,4,MCP,
B,5,MCP,
B,6,MCP,
B,7,MCP,N2-1-8
B,8,MCP,J2-1-3
B,9,MCP,V2-1-14
B,10,MCP,I2-1-7
B,11,MCP,U2-1-20
B,12,MCP,P2-1-7
C,1,MCP,U2-1-4
C,2,MCP,R2-1-6
C,3,MCP,Q2-1-7
C,4,MCP,I2-1-24
C,5,MCP,P2-1-17
C,6,MCP,F2-1-6
C,7,MCP,N2-1-29
C,8,MCP,E2-1-12
C,9,MCP,N2-1-16
C,10,MCP,P2-1-21
C,11,MCP,Y2-1-12
C,12,MCP,CC2-1-21
D,1,MCP,U2-1-4
D,2,MCP,R2-1-6
D,3,MCP,Q2-1-7
D,4,MCP,I2-1-24
D,5,MCP,P2-1-17
D,6,MCP,F2-1-6
D,7,MCP,N2-1-29
D,8,MCP,E2-1-12
D,9,MCP,N2-1-16
D,10,MCP,P2-1-21
D,11,MCP,Y2-1-12
D,12,MCP,CC2-1-21
E,1,MCP,W2-1-31
E,2,MCP,V2-1-15
E,3,MCP,CC2-1-25
E,4,MCP,C2-1-28
E,5,MCP,I2-1-5
E,6,MCP,A2-1-4
E,7,MCP,A2-1-11
E,8,MCP,C2-1-15
E,9,MCP,AA2-1-33
E,10,MCP,AA2-1-25
E,11,MCP,Y2-1-11
E,12,MCP,A2-1-10
F,1,MCP,W2-1-31
F,2,MCP,V2-1-15
F,3,MCP,CC2-1-25
F,4,MCP,C2-1-28
F,5,MCP,I2-1-5
F,6,MCP,A2-1-4
F,7,MCP,A2-1-11
F,8,MCP,C2-1-15
F,9,MCP,AA2-1-33
F,10,MCP,AA2-1-25
F,11,MCP,Y2-1-11
F,12,MCP,A2-1-10
G,1,MCP,D2-1-4
G,2,MCP,AA2-1-22
G,3,MCP,T2-1-8
G,4,MCP,W2-1-1
G,5,MCP,W2-1-8
G,6,MCP,X2-1-3
G,7,MCP,S2-1-33
G,8,MCP,AA2-1-8
G,9,MCP,W2-1-7
G,10,MCP,V2-1-18
G,11,MCP,W2-1-22
G,12,MCP,L2-1-8
H,1,MCP,D2-1-4
H,2,MCP,AA2-1-22
H,3,MCP,T2-1-8
H,4,MCP,W2-1-1
H,5,MCP,W2-1-8
H,6,MCP,X2-1-3
H,7,MCP,S2-1-33
H,8,MCP,AA2-1-8
H,9,MCP,W2-1-7
H,10,MCP,V2-1-18
H,11,MCP,W2-1-22
H,12,MCP,L2-1-8
